CITY_ID,CITY,COUNTRY_ID,LAST_UPDATE
1,A Corua (La Corua),87,2006-02-15 09:45:25.000 Z
2,Abha,82,2006-02-15 09:45:25.000 Z
3,Abu Dhabi,101,2006-02-15 09:45:25.000 Z
4,Acua,60,2006-02-15 09:45:25.000 Z
5,Adana,97,2006-02-15 09:45:25.000 Z
6,Addis Abeba,31,2006-02-15 09:45:25.000 Z
7,Aden,107,2006-02-15 09:45:25.000 Z
8,Adoni,44,2006-02-15 09:45:25.000 Z
9,Ahmadnagar,44,2006-02-15 09:45:25.000 Z
10,Akishima,50,2006-02-15 09:45:25.000 Z
11,Akron,103,2006-02-15 09:45:25.000 Z
12,al-Ayn,101,2006-02-15 09:45:25.000 Z
13,al-Hawiya,82,2006-02-15 09:45:25.000 Z
14,al-Manama,11,2006-02-15 09:45:25.000 Z
15,al-Qadarif,89,2006-02-15 09:45:25.000 Z
16,al-Qatif,82,2006-02-15 09:45:25.000 Z
17,Alessandria,49,2006-02-15 09:45:25.000 Z
18,Allappuzha (Alleppey),44,2006-02-15 09:45:25.000 Z
19,Allende,60,2006-02-15 09:45:25.000 Z
20,Almirante Brown,6,2006-02-15 09:45:25.000 Z
21,Alvorada,15,2006-02-15 09:45:25.000 Z
22,Ambattur,44,2006-02-15 09:45:25.000 Z
23,Amersfoort,67,2006-02-15 09:45:25.000 Z
24,Amroha,44,2006-02-15 09:45:25.000 Z
25,Angra dos Reis,15,2006-02-15 09:45:25.000 Z
26,Anpolis,15,2006-02-15 09:45:25.000 Z
27,Antofagasta,22,2006-02-15 09:45:25.000 Z
28,Aparecida de Goinia,15,2006-02-15 09:45:25.000 Z
29,Apeldoorn,67,2006-02-15 09:45:25.000 Z
30,Araatuba,15,2006-02-15 09:45:25.000 Z
31,Arak,46,2006-02-15 09:45:25.000 Z
32,Arecibo,77,2006-02-15 09:45:25.000 Z
33,Arlington,103,2006-02-15 09:45:25.000 Z
34,Ashdod,48,2006-02-15 09:45:25.000 Z
35,Ashgabat,98,2006-02-15 09:45:25.000 Z
36,Ashqelon,48,2006-02-15 09:45:25.000 Z
37,Asuncin,73,2006-02-15 09:45:25.000 Z
38,Athenai,39,2006-02-15 09:45:25.000 Z
39,Atinsk,80,2006-02-15 09:45:25.000 Z
40,Atlixco,60,2006-02-15 09:45:25.000 Z
41,Augusta-Richmond County,103,2006-02-15 09:45:25.000 Z
42,Aurora,103,2006-02-15 09:45:25.000 Z
43,Avellaneda,6,2006-02-15 09:45:25.000 Z
44,Bag,15,2006-02-15 09:45:25.000 Z
45,Baha Blanca,6,2006-02-15 09:45:25.000 Z
46,Baicheng,23,2006-02-15 09:45:25.000 Z
47,Baiyin,23,2006-02-15 09:45:25.000 Z
48,Baku,10,2006-02-15 09:45:25.000 Z
49,Balaiha,80,2006-02-15 09:45:25.000 Z
50,Balikesir,97,2006-02-15 09:45:25.000 Z
51,Balurghat,44,2006-02-15 09:45:25.000 Z
52,Bamenda,19,2006-02-15 09:45:25.000 Z
53,Bandar Seri Begawan,16,2006-02-15 09:45:25.000 Z
54,Banjul,37,2006-02-15 09:45:25.000 Z
55,Barcelona,104,2006-02-15 09:45:25.000 Z
