FILM_ID,ACTOR_ID,LAST_UPDATE
1,1,2006-02-15 10:05:03.000 Z
23,1,2006-02-15 10:05:03.000 Z
25,1,2006-02-15 10:05:03.000 Z
106,1,2006-02-15 10:05:03.000 Z
140,1,2006-02-15 10:05:03.000 Z
166,1,2006-02-15 10:05:03.000 Z
277,1,2006-02-15 10:05:03.000 Z
361,1,2006-02-15 10:05:03.000 Z
438,1,2006-02-15 10:05:03.000 Z
499,1,2006-02-15 10:05:03.000 Z
506,1,2006-02-15 10:05:03.000 Z
509,1,2006-02-15 10:05:03.000 Z
605,1,2006-02-15 10:05:03.000 Z
635,1,2006-02-15 10:05:03.000 Z
749,1,2006-02-15 10:05:03.000 Z
832,1,2006-02-15 10:05:03.000 Z
939,1,2006-02-15 10:05:03.000 Z
970,1,2006-02-15 10:05:03.000 Z
980,1,2006-02-15 10:05:03.000 Z
3,2,2006-02-15 10:05:03.000 Z
31,2,2006-02-15 10:05:03.000 Z
47,2,2006-02-15 10:05:03.000 Z
105,2,2006-02-15 10:05:03.000 Z
132,2,2006-02-15 10:05:03.000 Z
145,2,2006-02-15 10:05:03.000 Z
226,2,2006-02-15 10:05:03.000 Z
249,2,2006-02-15 10:05:03.000 Z
314,2,2006-02-15 10:05:03.000 Z
321,2,2006-02-15 10:05:03.000 Z
357,2,2006-02-15 10:05:03.000 Z
369,2,2006-02-15 10:05:03.000 Z
399,2,2006-02-15 10:05:03.000 Z
458,2,2006-02-15 10:05:03.000 Z
481,2,2006-02-15 10:05:03.000 Z
485,2,2006-02-15 10:05:03.000 Z
518,2,2006-02-15 10:05:03.000 Z
540,2,2006-02-15 10:05:03.000 Z
550,2,2006-02-15 10:05:03.000 Z
555,2,2006-02-15 10:05:03.000 Z
561,2,2006-02-15 10:05:03.000 Z
742,2,2006-02-15 10:05:03.000 Z
754,2,2006-02-15 10:05:03.000 Z
811,2,2006-02-15 10:05:03.000 Z
958,2,2006-02-15 10:05:03.000 Z
17,3,2006-02-15 10:05:03.000 Z
40,3,2006-02-15 10:05:03.000 Z
42,3,2006-02-15 10:05:03.000 Z
87,3,2006-02-15 10:05:03.000 Z
111,3,2006-02-15 10:05:03.000 Z
185,3,2006-02-15 10:05:03.000 Z
289,3,2006-02-15 10:05:03.000 Z
329,3,2006-02-15 10:05:03.000 Z
336,3,2006-02-15 10:05:03.000 Z
341,3,2006-02-15 10:05:03.000 Z
393,3,2006-02-15 10:05:03.000 Z
441,3,2006-02-15 10:05:03.000 Z
453,3,2006-02-15 10:05:03.000 Z
480,3,2006-02-15 10:05:03.000 Z
539,3,2006-02-15 10:05:03.000 Z
618,3,2006-02-15 10:05:03.000 Z
685,3,2006-02-15 10:05:03.000 Z
827,3,2006-02-15 10:05:03.000 Z
966,3,2006-02-15 10:05:03.000 Z
967,3,2006-02-15 10:05:03.000 Z
971,3,2006-02-15 10:05:03.000 Z
996,3,2006-02-15 10:05:03.000 Z
23,4,2006-02-15 10:05:03.000 Z
25,4,2006-02-15 10:05:03.000 Z
56,4,2006-02-15 10:05:03.000 Z
62,4,2006-02-15 10:05:03.000 Z
79,4,2006-02-15 10:05:03.000 Z
87,4,2006-02-15 10:05:03.000 Z
355,4,2006-02-15 10:05:03.000 Z
379,4,2006-02-15 10:05:03.000 Z
398,4,2006-02-15 10:05:03.000 Z
463,4,2006-02-15 10:05:03.000 Z
490,4,2006-02-15 10:05:03.000 Z
616,4,2006-02-15 10:05:03.000 Z
635,4,2006-02-15 10:05:03.000 Z
691,4,2006-02-15 10:05:03.000 Z
712,4,2006-02-15 10:05:03.000 Z
714,4,2006-02-15 10:05:03.000 Z
721,4,2006-02-15 10:05:03.000 Z
798,4,2006-02-15 10:05:03.000 Z
832,4,2006-02-15 10:05:03.000 Z
858,4,2006-02-15 10:05:03.000 Z
909,4,2006-02-15 10:05:03.000 Z
924,4,2006-02-15 10:05:03.000 Z
19,5,2006-02-15 10:05:03.000 Z
54,5,2006-02-15 10:05:03.000 Z
85,5,2006-02-15 10:05:03.000 Z
146,5,2006-02-15 10:05:03.000 Z
171,5,2006-02-15 10:05:03.000 Z
172,5,2006-02-15 10:05:03.000 Z
202,5,2006-02-15 10:05:03.000 Z
203,5,2006-02-15 10:05:03.000 Z
286,5,2006-02-15 10:05:03.000 Z
288,5,2006-02-15 10:05:03.000 Z
316,5,2006-02-15 10:05:03.000 Z
340,5,2006-02-15 10:05:03.000 Z
369,5,2006-02-15 10:05:03.000 Z
375,5,2006-02-15 10:05:03.000 Z
383,5,2006-02-15 10:05:03.000 Z
392,5,2006-02-15 10:05:03.000 Z
411,5,2006-02-15 10:05:03.000 Z
503,5,2006-02-15 10:05:03.000 Z
535,5,2006-02-15 10:05:03.000 Z
571,5,2006-02-15 10:05:03.000 Z
650,5,2006-02-15 10:05:03.000 Z
665,5,2006-02-15 10:05:03.000 Z
687,5,2006-02-15 10:05:03.000 Z
730,5,2006-02-15 10:05:03.000 Z
732,5,2006-02-15 10:05:03.000 Z
811,5,2006-02-15 10:05:03.000 Z
817,5,2006-02-15 10:05:03.000 Z
841,5,2006-02-15 10:05:03.000 Z
865,5,2006-02-15 10:05:03.000 Z
29,6,2006-02-15 10:05:03.000 Z
53,6,2006-02-15 10:05:03.000 Z
60,6,2006-02-15 10:05:03.000 Z
70,6,2006-02-15 10:05:03.000 Z
112,6,2006-02-15 10:05:03.000 Z
164,6,2006-02-15 10:05:03.000 Z
165,6,2006-02-15 10:05:03.000 Z
193,6,2006-02-15 10:05:03.000 Z
256,6,2006-02-15 10:05:03.000 Z
451,6,2006-02-15 10:05:03.000 Z
503,6,2006-02-15 10:05:03.000 Z
509,6,2006-02-15 10:05:03.000 Z
517,6,2006-02-15 10:05:03.000 Z
519,6,2006-02-15 10:05:03.000 Z
605,6,2006-02-15 10:05:03.000 Z
692,6,2006-02-15 10:05:03.000 Z
826,6,2006-02-15 10:05:03.000 Z
892,6,2006-02-15 10:05:03.000 Z
902,6,2006-02-15 10:05:03.000 Z
994,6,2006-02-15 10:05:03.000 Z
25,7,2006-02-15 10:05:03.000 Z
27,7,2006-02-15 10:05:03.000 Z
35,7,2006-02-15 10:05:03.000 Z
67,7,2006-02-15 10:05:03.000 Z
96,7,2006-02-15 10:05:03.000 Z
170,7,2006-02-15 10:05:03.000 Z
173,7,2006-02-15 10:05:03.000 Z
217,7,2006-02-15 10:05:03.000 Z
218,7,2006-02-15 10:05:03.000 Z
225,7,2006-02-15 10:05:03.000 Z
292,7,2006-02-15 10:05:03.000 Z
351,7,2006-02-15 10:05:03.000 Z
414,7,2006-02-15 10:05:03.000 Z
463,7,2006-02-15 10:05:03.000 Z
554,7,2006-02-15 10:05:03.000 Z
618,7,2006-02-15 10:05:03.000 Z
633,7,2006-02-15 10:05:03.000 Z
637,7,2006-02-15 10:05:03.000 Z
691,7,2006-02-15 10:05:03.000 Z
758,7,2006-02-15 10:05:03.000 Z
766,7,2006-02-15 10:05:03.000 Z
770,7,2006-02-15 10:05:03.000 Z
805,7,2006-02-15 10:05:03.000 Z
806,7,2006-02-15 10:05:03.000 Z
846,7,2006-02-15 10:05:03.000 Z
900,7,2006-02-15 10:05:03.000 Z
901,7,2006-02-15 10:05:03.000 Z
910,7,2006-02-15 10:05:03.000 Z
957,7,2006-02-15 10:05:03.000 Z
959,7,2006-02-15 10:05:03.000 Z
47,8,2006-02-15 10:05:03.000 Z
115,8,2006-02-15 10:05:03.000 Z
158,8,2006-02-15 10:05:03.000 Z
179,8,2006-02-15 10:05:03.000 Z
195,8,2006-02-15 10:05:03.000 Z
205,8,2006-02-15 10:05:03.000 Z
255,8,2006-02-15 10:05:03.000 Z
263,8,2006-02-15 10:05:03.000 Z
321,8,2006-02-15 10:05:03.000 Z
396,8,2006-02-15 10:05:03.000 Z
458,8,2006-02-15 10:05:03.000 Z
523,8,2006-02-15 10:05:03.000 Z
532,8,2006-02-15 10:05:03.000 Z
554,8,2006-02-15 10:05:03.000 Z
752,8,2006-02-15 10:05:03.000 Z
769,8,2006-02-15 10:05:03.000 Z
771,8,2006-02-15 10:05:03.000 Z
859,8,2006-02-15 10:05:03.000 Z
895,8,2006-02-15 10:05:03.000 Z
936,8,2006-02-15 10:05:03.000 Z
30,9,2006-02-15 10:05:03.000 Z
74,9,2006-02-15 10:05:03.000 Z
147,9,2006-02-15 10:05:03.000 Z
148,9,2006-02-15 10:05:03.000 Z
191,9,2006-02-15 10:05:03.000 Z
200,9,2006-02-15 10:05:03.000 Z
204,9,2006-02-15 10:05:03.000 Z
434,9,2006-02-15 10:05:03.000 Z
510,9,2006-02-15 10:05:03.000 Z
514,9,2006-02-15 10:05:03.000 Z
552,9,2006-02-15 10:05:03.000 Z
650,9,2006-02-15 10:05:03.000 Z
671,9,2006-02-15 10:05:03.000 Z
697,9,2006-02-15 10:05:03.000 Z
722,9,2006-02-15 10:05:03.000 Z
752,9,2006-02-15 10:05:03.000 Z
811,9,2006-02-15 10:05:03.000 Z
815,9,2006-02-15 10:05:03.000 Z
865,9,2006-02-15 10:05:03.000 Z
873,9,2006-02-15 10:05:03.000 Z
889,9,2006-02-15 10:05:03.000 Z
903,9,2006-02-15 10:05:03.000 Z
926,9,2006-02-15 10:05:03.000 Z
964,9,2006-02-15 10:05:03.000 Z
974,9,2006-02-15 10:05:03.000 Z
1,10,2006-02-15 10:05:03.000 Z
9,10,2006-02-15 10:05:03.000 Z
191,10,2006-02-15 10:05:03.000 Z
236,10,2006-02-15 10:05:03.000 Z
251,10,2006-02-15 10:05:03.000 Z
366,10,2006-02-15 10:05:03.000 Z
477,10,2006-02-15 10:05:03.000 Z
480,10,2006-02-15 10:05:03.000 Z
522,10,2006-02-15 10:05:03.000 Z
530,10,2006-02-15 10:05:03.000 Z
587,10,2006-02-15 10:05:03.000 Z
694,10,2006-02-15 10:05:03.000 Z
703,10,2006-02-15 10:05:03.000 Z
716,10,2006-02-15 10:05:03.000 Z
782,10,2006-02-15 10:05:03.000 Z
914,10,2006-02-15 10:05:03.000 Z
929,10,2006-02-15 10:05:03.000 Z
930,10,2006-02-15 10:05:03.000 Z
964,10,2006-02-15 10:05:03.000 Z
966,10,2006-02-15 10:05:03.000 Z
980,10,2006-02-15 10:05:03.000 Z
983,10,2006-02-15 10:05:03.000 Z
118,11,2006-02-15 10:05:03.000 Z
205,11,2006-02-15 10:05:03.000 Z
281,11,2006-02-15 10:05:03.000 Z
283,11,2006-02-15 10:05:03.000 Z
348,11,2006-02-15 10:05:03.000 Z
364,11,2006-02-15 10:05:03.000 Z
395,11,2006-02-15 10:05:03.000 Z
429,11,2006-02-15 10:05:03.000 Z
433,11,2006-02-15 10:05:03.000 Z
453,11,2006-02-15 10:05:03.000 Z
485,11,2006-02-15 10:05:03.000 Z
532,11,2006-02-15 10:05:03.000 Z
567,11,2006-02-15 10:05:03.000 Z
587,11,2006-02-15 10:05:03.000 Z
597,11,2006-02-15 10:05:03.000 Z
636,11,2006-02-15 10:05:03.000 Z
709,11,2006-02-15 10:05:03.000 Z
850,11,2006-02-15 10:05:03.000 Z
854,11,2006-02-15 10:05:03.000 Z
888,11,2006-02-15 10:05:03.000 Z
896,11,2006-02-15 10:05:03.000 Z
928,11,2006-02-15 10:05:03.000 Z
938,11,2006-02-15 10:05:03.000 Z
969,11,2006-02-15 10:05:03.000 Z
988,11,2006-02-15 10:05:03.000 Z
16,12,2006-02-15 10:05:03.000 Z
17,12,2006-02-15 10:05:03.000 Z
34,12,2006-02-15 10:05:03.000 Z
37,12,2006-02-15 10:05:03.000 Z
91,12,2006-02-15 10:05:03.000 Z
92,12,2006-02-15 10:05:03.000 Z
107,12,2006-02-15 10:05:03.000 Z
155,12,2006-02-15 10:05:03.000 Z
177,12,2006-02-15 10:05:03.000 Z
208,12,2006-02-15 10:05:03.000 Z
213,12,2006-02-15 10:05:03.000 Z
216,12,2006-02-15 10:05:03.000 Z
243,12,2006-02-15 10:05:03.000 Z
344,12,2006-02-15 10:05:03.000 Z
400,12,2006-02-15 10:05:03.000 Z
416,12,2006-02-15 10:05:03.000 Z
420,12,2006-02-15 10:05:03.000 Z
457,12,2006-02-15 10:05:03.000 Z
513,12,2006-02-15 10:05:03.000 Z
540,12,2006-02-15 10:05:03.000 Z
593,12,2006-02-15 10:05:03.000 Z
631,12,2006-02-15 10:05:03.000 Z
635,12,2006-02-15 10:05:03.000 Z
672,12,2006-02-15 10:05:03.000 Z
716,12,2006-02-15 10:05:03.000 Z
728,12,2006-02-15 10:05:03.000 Z
812,12,2006-02-15 10:05:03.000 Z
838,12,2006-02-15 10:05:03.000 Z
871,12,2006-02-15 10:05:03.000 Z
880,12,2006-02-15 10:05:03.000 Z
945,12,2006-02-15 10:05:03.000 Z
17,13,2006-02-15 10:05:03.000 Z
29,13,2006-02-15 10:05:03.000 Z
45,13,2006-02-15 10:05:03.000 Z
87,13,2006-02-15 10:05:03.000 Z
110,13,2006-02-15 10:05:03.000 Z
144,13,2006-02-15 10:05:03.000 Z
154,13,2006-02-15 10:05:03.000 Z
162,13,2006-02-15 10:05:03.000 Z
203,13,2006-02-15 10:05:03.000 Z
254,13,2006-02-15 10:05:03.000 Z
337,13,2006-02-15 10:05:03.000 Z
346,13,2006-02-15 10:05:03.000 Z
381,13,2006-02-15 10:05:03.000 Z
385,13,2006-02-15 10:05:03.000 Z
427,13,2006-02-15 10:05:03.000 Z
456,13,2006-02-15 10:05:03.000 Z
513,13,2006-02-15 10:05:03.000 Z
515,13,2006-02-15 10:05:03.000 Z
522,13,2006-02-15 10:05:03.000 Z
524,13,2006-02-15 10:05:03.000 Z
528,13,2006-02-15 10:05:03.000 Z
571,13,2006-02-15 10:05:03.000 Z
588,13,2006-02-15 10:05:03.000 Z
597,13,2006-02-15 10:05:03.000 Z
600,13,2006-02-15 10:05:03.000 Z
718,13,2006-02-15 10:05:03.000 Z
729,13,2006-02-15 10:05:03.000 Z
816,13,2006-02-15 10:05:03.000 Z
817,13,2006-02-15 10:05:03.000 Z
832,13,2006-02-15 10:05:03.000 Z
833,13,2006-02-15 10:05:03.000 Z
843,13,2006-02-15 10:05:03.000 Z
897,13,2006-02-15 10:05:03.000 Z
966,13,2006-02-15 10:05:03.000 Z
998,13,2006-02-15 10:05:03.000 Z
154,14,2006-02-15 10:05:03.000 Z
187,14,2006-02-15 10:05:03.000 Z
232,14,2006-02-15 10:05:03.000 Z
241,14,2006-02-15 10:05:03.000 Z
253,14,2006-02-15 10:05:03.000 Z
255,14,2006-02-15 10:05:03.000 Z
258,14,2006-02-15 10:05:03.000 Z
284,14,2006-02-15 10:05:03.000 Z
292,14,2006-02-15 10:05:03.000 Z
370,14,2006-02-15 10:05:03.000 Z
415,14,2006-02-15 10:05:03.000 Z
417,14,2006-02-15 10:05:03.000 Z
418,14,2006-02-15 10:05:03.000 Z
454,14,2006-02-15 10:05:03.000 Z
472,14,2006-02-15 10:05:03.000 Z
475,14,2006-02-15 10:05:03.000 Z
495,14,2006-02-15 10:05:03.000 Z
536,14,2006-02-15 10:05:03.000 Z
537,14,2006-02-15 10:05:03.000 Z
612,14,2006-02-15 10:05:03.000 Z
688,14,2006-02-15 10:05:03.000 Z
759,14,2006-02-15 10:05:03.000 Z
764,14,2006-02-15 10:05:03.000 Z
847,14,2006-02-15 10:05:03.000 Z
856,14,2006-02-15 10:05:03.000 Z
890,14,2006-02-15 10:05:03.000 Z
908,14,2006-02-15 10:05:03.000 Z
919,14,2006-02-15 10:05:03.000 Z
948,14,2006-02-15 10:05:03.000 Z
970,14,2006-02-15 10:05:03.000 Z
31,15,2006-02-15 10:05:03.000 Z
89,15,2006-02-15 10:05:03.000 Z
91,15,2006-02-15 10:05:03.000 Z
108,15,2006-02-15 10:05:03.000 Z
125,15,2006-02-15 10:05:03.000 Z
236,15,2006-02-15 10:05:03.000 Z
275,15,2006-02-15 10:05:03.000 Z
280,15,2006-02-15 10:05:03.000 Z
326,15,2006-02-15 10:05:03.000 Z
342,15,2006-02-15 10:05:03.000 Z
414,15,2006-02-15 10:05:03.000 Z
445,15,2006-02-15 10:05:03.000 Z
500,15,2006-02-15 10:05:03.000 Z
502,15,2006-02-15 10:05:03.000 Z
541,15,2006-02-15 10:05:03.000 Z
553,15,2006-02-15 10:05:03.000 Z
594,15,2006-02-15 10:05:03.000 Z
626,15,2006-02-15 10:05:03.000 Z
635,15,2006-02-15 10:05:03.000 Z
745,15,2006-02-15 10:05:03.000 Z
783,15,2006-02-15 10:05:03.000 Z
795,15,2006-02-15 10:05:03.000 Z
817,15,2006-02-15 10:05:03.000 Z
886,15,2006-02-15 10:05:03.000 Z
924,15,2006-02-15 10:05:03.000 Z
949,15,2006-02-15 10:05:03.000 Z
968,15,2006-02-15 10:05:03.000 Z
985,15,2006-02-15 10:05:03.000 Z
80,16,2006-02-15 10:05:03.000 Z
87,16,2006-02-15 10:05:03.000 Z
101,16,2006-02-15 10:05:03.000 Z
121,16,2006-02-15 10:05:03.000 Z
155,16,2006-02-15 10:05:03.000 Z
177,16,2006-02-15 10:05:03.000 Z
218,16,2006-02-15 10:05:03.000 Z
221,16,2006-02-15 10:05:03.000 Z
